,Entry Date,Exit Date,Position,Entry Ratio,Exit Ratio,Entry Z,Exit Z,P&L,P&L %,Days,Exit Reason
0,2024-03-22,2024-04-02,Short Ratio,3.805184144747517,3.694009782085179,2.3748965235300603,0.35255744355985735,"$2,918.73",+2.92%,11,Normal Exit
1,2024-04-18,2024-05-07,Short Ratio,3.7868552354992953,3.5812740277462454,2.699954468006727,-5.071342960758236,"$5,570.68",+5.43%,19,Z-Score Explosion
2,2024-05-08,2024-05-09,Long Ratio,3.5794405180812654,3.56446778097909,-4.954788510331132,-5.486504045663914,$-451.63,-0.42%,1,Z-Score Explosion
3,2024-05-10,2024-05-15,Long Ratio,3.5724831567067445,3.5613859927685123,-4.820957143992171,-5.186185728131899,$-333.31,-0.31%,5,Z-Score Explosion
4,2024-05-16,2024-05-17,Long Ratio,3.580029197771033,3.55055416279537,-4.572602707749666,-5.295371640218638,$-878.92,-0.82%,1,Z-Score Explosion
5,2024-05-20,2024-06-14,Long Ratio,3.5716278854337555,3.691148383826498,-4.632742507346977,-0.11134269273218378,"$3,535.91",+3.35%,25,Normal Exit
6,2024-06-28,2024-07-05,Long Ratio,3.5689345389505243,3.6669822645560797,-2.111725991299745,0.1865048871499954,"$2,993.99",+2.75%,7,Normal Exit
7,2024-07-11,2024-07-18,Long Ratio,3.5332636596506264,3.596065497906954,-2.6001011859016194,-0.42493150235586913,"$1,986.32",+1.78%,7,Normal Exit
8,2024-07-23,2024-08-22,Long Ratio,3.4175762504431555,3.6538822249699874,-6.98687249077931,0.47096997448545663,"$7,848.58",+6.91%,30,Normal Exit
9,2024-08-23,2024-08-27,Long Ratio,3.554084115411819,3.660104714038809,-2.6246422308417396,0.4207884791882073,"$3,612.97",+2.98%,4,Normal Exit
10,2024-09-03,2024-09-04,Short Ratio,3.777932448551524,3.840710803252001,3.481809532788767,5.233741714222836,"$-2,068.49",-1.66%,1,Z-Score Explosion
11,2024-09-05,2024-09-06,Short Ratio,3.90515478614931,3.9082826879329557,7.032155961876337,6.92582925813857,$-97.85,-0.08%,1,Z-Score Explosion
12,2024-09-09,2024-09-10,Short Ratio,3.9937691024078816,3.889506233857325,9.07051756022811,6.268447787059689,"$3,180.40",+2.61%,1,Z-Score Explosion
13,2024-09-11,2024-09-12,Short Ratio,3.915833120349748,3.9212228636503155,6.7703175825270945,6.734825746567567,$-171.71,-0.14%,1,Z-Score Explosion
14,2024-09-13,2024-09-18,Short Ratio,3.797113255175943,3.868035673416706,3.5122535313353014,5.135493946098045,"$-2,322.32",-1.87%,5,Z-Score Explosion
15,2024-09-19,2024-10-11,Short Ratio,3.848251395753341,3.74255481008246,4.281578845598429,0.21839218078416323,"$3,344.50",+2.75%,22,Normal Exit
16,2024-10-22,2024-11-06,Long Ratio,3.562898165437072,3.4110825708560273,-3.353756549396267,-5.018189279009429,"$-5,320.41",-4.26%,15,Z-Score Explosion
17,2024-11-07,2024-12-18,Long Ratio,3.5463286347586647,3.6034554508824277,-2.984120762043386,0.2410288431099693,"$1,921.82",+1.61%,41,Normal Exit
18,2025-01-14,2025-01-21,Long Ratio,3.45529231892934,3.381820808644041,-2.573554196033452,-5.599114721647759,"$-2,572.51",-2.13%,7,Z-Score Explosion
19,2025-01-22,2025-01-28,Long Ratio,3.3974299390989713,3.5105742780537827,-5.163043446345479,-0.24841874711266565,"$3,935.52",+3.33%,6,Normal Exit
20,2025-02-12,2025-02-13,Short Ratio,3.5450314322287015,3.51594063564332,2.145420201862308,0.3435122140736985,"$1,000.03",+0.82%,1,Normal Exit
21,2025-02-14,2025-02-21,Long Ratio,3.470444270749983,3.5117317325649147,-2.2563970061121355,0.034998357663719386,"$1,458.79",+1.19%,7,Normal Exit
22,2025-03-03,2025-03-05,Short Ratio,3.5693585526364413,3.5108221506605797,3.5657580142184546,-0.1846594325509765,"$2,030.78",+1.64%,2,Normal Exit
23,2025-03-06,2025-03-10,Short Ratio,3.5475568290252375,3.688883698094834,2.065947599134337,9.704495048386024,"$-5,004.00",-3.98%,4,Z-Score Explosion
24,2025-03-11,2025-03-31,Short Ratio,3.584408392915829,3.5167733792578733,3.7746890643227076,0.16965456531177522,"$2,271.18",+1.89%,20,Normal Exit
25,2025-04-03,2025-04-04,Short Ratio,3.672704849385529,3.6900445926821854,8.237214643938088,9.12201324769865,$-577.83,-0.47%,1,Z-Score Explosion
26,2025-04-07,2025-04-16,Short Ratio,3.574247112701507,3.522774370948752,2.965558093587159,0.27254351803964466,"$1,750.71",+1.44%,9,Normal Exit
27,2025-04-17,2025-06-10,Long Ratio,3.46756574163033,3.5998039366778736,-2.626612544507326,0.36644589759819196,"$4,693.48",+3.81%,54,Normal Exit
28,2025-07-02,2025-07-14,Long Ratio,3.5705230733699764,3.465148245148818,-2.0152527878436164,-5.93616271885576,"$-3,763.16",-2.95%,12,Z-Score Explosion
29,2025-07-15,2025-07-18,Long Ratio,3.550755187839022,3.487196876989163,-2.5161246192309505,-5.055309384197311,"$-2,210.65",-1.79%,3,Z-Score Explosion
30,2025-07-21,2025-08-04,Long Ratio,3.491410238161257,3.611901902483473,-4.655582915679239,0.1714844748443926,"$4,177.46",+3.45%,14,Normal Exit
31,2025-08-06,2025-08-12,Short Ratio,3.6888565477980952,3.6256768691544448,2.735217679564514,0.08034605315270464,"$2,140.46",+1.71%,6,Normal Exit
32,2025-08-27,2025-09-23,Long Ratio,3.5505676863427227,3.557585040987942,-2.185810848851808,-0.40095238008490086,$250.73,+0.20%,27,Normal Exit
33,2025-10-03,2025-10-07,Long Ratio,3.48422422364375,3.4157870739769747,-2.609886232773306,-5.029862939520528,"$-2,491.74",-1.96%,4,Z-Score Explosion
34,2025-10-08,2025-10-16,Long Ratio,3.3879001137440445,3.833658280142082,-6.015961783704855,8.905957632810992,"$16,330.56",+13.16%,8,Z-Score Explosion
35,2025-10-17,2025-10-23,Short Ratio,3.6430943420781503,3.5511718872439584,2.3982297205111083,-0.15629692231582482,"$3,536.69",+2.52%,6,Normal Exit
36,2025-11-06,2025-11-07,Short Ratio,3.6000577794521673,3.556547402906847,2.3652939697463613,0.48907026441610163,"$1,733.33",+1.21%,1,Normal Exit
37,2025-11-12,2025-11-17,Short Ratio,3.594423147348257,3.6598528206770946,2.4289080939702856,5.539542624565277,"$-2,636.90",-1.82%,5,Z-Score Explosion
38,2025-11-18,2025-12-02,Short Ratio,3.64977708297817,3.5525341874416303,5.060525444547061,0.33923598201593863,"$3,781.74",+2.66%,14,Normal Exit
39,2025-12-03,2025-12-04,Short Ratio,3.6118205235724217,3.557688962875322,2.5250558293595247,0.4604497005000389,"$2,179.59",+1.50%,1,Normal Exit
40,2025-12-09,2025-12-11,Short Ratio,3.6033867984815737,3.5598385126468997,2.2421116346502132,0.38386776588009,"$1,780.34",+1.21%,2,Normal Exit
