Rank,Stock 1,Stock 2,Coint Score,Grade,Return (%),Sharpe,Max DD (%),Win Rate (%),Trades,Avg Trade (%)
1,LLY,UHS,81.11111111111111,A级 (优秀),45.75516788127707,3.3643367230399432,-4.3691757714935795,100.0,9,5.221121076570223
2,D,EME,91.11111111111111,S级 (完美),40.260011435745604,0.8331504553769302,-14.337332383696841,77.77777777777779,9,4.619747744554491
3,REG,SMCI,87.77777777777777,A级 (优秀),40.0581475252533,2.0665286861874654,-6.918497460826865,75.0,12,3.47912131109271
4,GPC,MPC,75.55555555555556,B级 (良好),35.9522989519602,1.7497610867807636,-2.7745601258382773,84.61538461538461,13,2.9069440996598317
5,APP,SHOP,91.11111111111111,S级 (完美),34.19649484665136,2.40306628649927,-8.105497513654862,78.57142857142857,14,2.5809519668642253
6,ADM,FSLR,81.66666666666667,A级 (优秀),32.44073222596452,1.311965245850437,-10.698263758257484,61.53846153846154,13,2.624272307432603
7,ADBE,KR,78.88888888888889,B级 (良好),31.565927350781653,3.2642095756319773,-7.601217265953772,80.0,5,6.450740681032734
8,ABNB,KO,71.66666666666666,B级 (良好),30.939144258648433,1.9026814887385746,-5.288837371206338,83.33333333333334,12,2.7210114851883134
9,EBAY,NRG,76.66666666666667,B级 (良好),30.390789246687316,2.4986137704537636,-8.118677011043413,81.81818181818183,11,2.9062434992281294
10,ON,TXT,71.11111111111111,B级 (良好),30.310271188412575,3.2338750737756516,-8.46360422881151,85.71428571428571,14,2.3025438416508957
11,AFL,SMCI,83.88888888888889,A级 (优秀),29.873518643569668,2.9798042862020293,-11.267819963403818,85.71428571428571,7,4.404402985796712
12,EPAM,HSIC,78.88888888888889,B级 (良好),28.228040572788554,1.0862033960755542,-7.09829990467033,76.92307692307693,13,2.3158873414220253
13,PDD,PSX,73.88888888888889,B级 (良好),27.879615744847065,2.3437699827888365,-8.617159187462352,100.0,8,3.61275564070772
14,DVN,NWS,76.66666666666667,B级 (良好),26.719703604881506,1.652587583196287,-8.1675634692407,60.0,10,2.8204837470157544
15,CTVA,META,81.66666666666667,A级 (优秀),26.61498970702097,1.579556671881113,-5.755734879734335,60.0,10,2.789583762529554
16,UPS,WEC,76.66666666666667,B级 (良好),26.496024338469333,1.4169540417872666,-5.836216907546872,57.14285714285714,21,1.3899068679286881
17,ABT,EG,81.66666666666667,A级 (优秀),25.803749901986826,4.116539989435873,-1.5274516141793804,100.0,10,2.713203917333124
18,EG,LULU,83.33333333333333,A级 (优秀),25.75741926468104,1.117182735605152,-8.34611891048009,75.0,8,3.3487192469434888
19,EXPD,MU,76.66666666666667,B级 (良好),25.38370765266032,2.027040666997253,-7.179807096444805,77.77777777777779,9,2.9446269945802475
20,EG,HPQ,97.77777777777777,S级 (完美),25.20632344339503,1.5856463060954884,-6.588444677074139,78.57142857142857,14,1.9276863989601698
21,GPC,ISRG,95.55555555555556,S级 (完美),24.18479357338528,1.2764473367220925,-4.9483092069126275,69.23076923076923,13,1.9981352120703026
22,ADBE,CNP,83.88888888888889,A级 (优秀),24.128512172076853,2.600881772279549,-3.4074979587768435,71.42857142857143,7,3.5734014733678725
23,SW,TTD,76.66666666666667,B级 (良好),24.09520030794658,0.9738775445102443,-9.159876851670788,66.66666666666666,15,1.7455096653011475
24,EG,ROL,95.55555555555556,S级 (完美),23.918387840839948,1.8673683126890666,-2.5560810981774447,73.33333333333333,15,1.7274505082416376
25,CRL,HAL,95.55555555555556,S级 (完美),23.833433568801514,1.1593662116663037,-5.808251974023915,83.33333333333334,12,2.1176687946788975
